"token","freq"
"big day",2
"big deal",3
"big difference",2
"big east",3
"big enough",2
"big hit",3
"big huge",2
"big increases",2
"big party",2
"big push",2
"big ten",3
"big thing",3
"biggest reason",2
"billion debt",2
"billion economic",2
"billion projected",2
"billion years",2
"billions dollars",2
"bin laden",4
"birth control",3
"birthday ever",2
"bit like",2
"bit time",3
"black hole",4
"black ink",2
"black keys",3
"black men",2
"black truffle",2
"black white",6
"blank page",2
"block south",3
"blog hop",4
"blog just",2
"blog post",5
"blog world",2
"blood cells",2
"blood jumping",2
"blood money",2
"blood pressure",3
"blue birds",2
"blue jays",3
"board education",2
"board member",4
"board voted",2
"board will",3
"boe program",2
"boiling point",2
"bone hunt",2
"book award",2
"book club",2
"book like",2
"book review",4
"book said",2
"book series",2
"booker t",2
"boots asses",2
"booz allen",2
"boston red",2
"bounced back",2
"bowl add",2
"bowl nice",2
"bowl season",2
"bowl victory",2
"boxing day",2
"boy girl",2
"breast cancer",3
"bridge will",2
"brief overview",2
"bring boil",3
"bring end",2
"brings new",2
"brings us",2
"broken leg",2
"brooklyn bridge",2
"broth boiling",2
"broth stir",2
"brother sister",2
"brothers sisters",3
"brown rice",4
"brown sugar",4
"browns played",2
"bucks display",2
"budget cuts",2
"budget gap",2
"buffalo check",2
"build new",4
"bus driver",4
"bus hazing",2
"bus tour",2
"busan tower",2
"business development",2
"business just",2
"business leaders",3
"busy mama",2
"busy week",2
"but ’s",2
"but day",2
"but im",3
"but people",2
"butter jar",2
"buy back",2
"buy ticket",2
"by way",2
"cable tv",2
"california san",2
"call day",2
"call pick",2
"call us",2
"call visit",2
"call vs",2
"call will",2
"called “",2
"called lobbyists",2
"came across",3
"came back",4
"came just",2
"came last",2
"came today",2
"came us",2
"camp will",2
"campaign funds",2
"can accessed",2
"can actually",2
"can also",10
"can always",2
"can ask",2
"can become",2
"can begin",2
"can bring",3
"can buy",3
"can call",3
"can choose",2
"can come",4
"can compete",2
"can confirm",2
"can continue",2
"can easily",4
"can enable",2
"can entire",2
"can establish",2
"can even",2
"can expect",3
"can feel",5
"can fill",2
"can finally",2
"can find",4
"can follow",2
"can found",6
"can get",24
"can go",8
"can happen",2
"can help",6
"can imagine",4
"can just",7
"can keep",3
"can learn",2
"can leave",2
"can live",2
"can make",14
"can manage",2
"can meet",2
"can must",2
"can play",2
"can please",4
"can put",4
"can read",3
"can really",2
"can return",2
"can run",2
"can save",2
"can say",5
"can see",21
"can share",2
"can show",2
"can sit",2
"can speak",2
"can still",5
"can support",2
"can take",7
"can tell",2
"can think",5
"can try",2
"can u",2
"can understood",2
"can use",7
"can watch",2
"can will",3
"can work",3
"can write",2
"can’t believe",2
"can’t keep",2
"can’t put",2
"can’t wait",4
"cancer survivor",3
"cant just",2
"cant tell",3
"cant wait",6
"cap gown",2
"capt ken",2
"car crash",2
"car insurance",2
"car rental",2
"cards cookies",2
"care facilities",2
"care god",2
"care little",2
"care much",2
"care package",2
"care reform",2
"carmen sternwood",2
"carolina state",2
"case now",2
"cases state",2
"cast iron",2
"casual fan",2
"casual look",2
"caught guard",2
"cedar point",2
"cell phone",3
"cement pillars",2
"center fielder",2
"center god’s",2
"center north",2
"center will",2
"centers disease",2
"central america",2
"central bank",2
"central bordeaux",2
"central division",2
"central government",3
"cents per",3
"certain things",2
"championship game",2
"chance better",2
"chance see",3
"chance win",2
"chances getting",2
"change mind",2
"change paradigm",2
"change will",3
"changes way",2
"charges filed",2
"charity noted",2
"charlie chocolate",2
"check back",4
"check insurance",2
"cheer went",2
"cheese medley",2
"cheesecake factory",2
"cheesey tuesday",2
"cherry tomatoes",2
"chicago bears",2
"chicago suburban",2
"chief executive",2
"chief judge",2
"chief operating",2
"chief staff",2
"child go",2
"child support",2
"child will",2
"children also",2
"children born",2
"children israel",2
"childrens hospital",2
"chillin wit",2
"chloral hydrate",2
"chocolate chip",2
"chocolate factory",2
"choice take",2
"choices can",2
"choir members",2
"choose one",2
"chopped fresh",2
"choral award",2
"chow hall",2
"chris christie",4
"chris seddon",2
"christie said",2
"christmas cards",2
"christmas carol",2
"christmas season",2
"cinco de",2
"circle dr",2
"circumstances call",2
"citizen participation",2
"citizens governments",2
"city area",2
"city council",7
"city hall",9
"city leaders",2
"city may",2
"city mayor",2
"city officials",3
"city said",2
"city state",2
"civic park",2
"civil liberties",2
"civil rights",3
"clark said",2
"class limited",2
"classic one",2
"clear customs",2
"cleveland browns",2
"cleveland clinic",2
"cleveland ohio",5
"climate change",5
"climbing toward",2
"clinic innovations",2
"close eyes",2
"close friend",2
"close heart",2
"closest friends",2
"clown shoes",3
"club free",2
"coconut milk",2
"coffee shops",3
"coins bullion",2
"cold humid",2
"cold war",2
"cold weather",2
"cole slaw",2
"collection things",2
"collective bargaining",3
"collective identity",2
"college ’s",2
"college football",2
"color printing",2
"come ’s",2
"come alive",2
"come back",13
"come check",3
"come end",2
"come home",4
"come join",3
"come later",2
"come newco",2
"come say",2
"come scrutiny",2
"come see",3
"come together",3
"come visit",2
"come will",2
"coming across",2
"coming along",2
"coming back",3
"coming home",2
"coming support",2
"coming time",2
"commemorative wine",2
"comment blog",2
"comment post",2
"comment time",2
"commission members",2
"commissioner gary",2
"commit united",2
"committee last",2
"common sense",2
"community center",3
"community college",2
"community members",2
"community said",2
"companies like",2
"company found",2
"company hopes",2
"company reported",2
"company said",3
"company will",2
"companys bankruptcy",2
"compared million",2
"compared percent",2
"computer science",2
"concluding paragraph",2
"conference call",2
"confident can",2
"conflict interest",2
"congress pass",2
"conservative vote",2
"considered theft",3
"contains two",2
"contest win",2
"continue pray",2
"continue search",2
"contraction pain",2
"contributed report",3
"cook county",2
"cook minutes",3
"cookie sheet",2
"cookies blog",2
"cool spring",2
"cooling centers",2
"coors field",2
"copic markers",2
"corey smith",2
"corporate interests",2
"corporate tax",2
"cost million",2
"costume company",3
"couldn’t get",3
"council approved",2
"council members",4
"council president",3
"count number",2
"country music",2
"country store",2
"county circuit",2
"county jail",2
"county prosecutor",2
"county sheriffs",4
"couple days",6
"couple times",2
"couple tough",2
"couple weeks",4
"couple years",2
"course also",2
"course found",2
"course like",2
"course think",2
"court documents",2
"court judge",2
"court records",2
"court told",2
"cover boy",2
"cover cook",2
"cover refrigerate",2
"crazy busy",2
"crazy person",2
"creative act",2
"credit card",2
"credit union",2
"crime rates",2
"crossbody bag",2
"crude oil",2
"cultural differences",2
"cup chopped",3
"cup coffee",2
"cup cooked",2
"curtains rise",2
"customer service",3
"customers can",2
"customers said",2
"cut fastball",2
"cute little",3
"cute surfer",2
"cuts beef",2
"cutting ties",2
"cuyahoga county",2
"dad just",2
"daily basis",2
"daily ridership",2
"dale gilmore",2
"dan auerbach",2
"dancing dad",2
"dark ambient",2
"dark green",2
"darn good",2
"data protection",2
"data security",2
"daughter sister",2
"david cameron",2
"day ’s",3
"day became",2
"day buy",2
"day can",2
"day day",2
"day ever",2
"day gives",2
"day go",2
"day good",2
"day just",2
"day know",2
"day knows",2
"day life",2
"day love",2
"day mention",2
"day morning",2
"day right",2
"day school",2
"day think",3
"day today",5
"day tomorrow",2
"day two",2
"day week",3
"day year",2
"day years",2
"days ago",3
"days ahead",2
"days later",2
"days life",3
"days week",3
"days wish",2
"de mayo",3
"dead serious",2
"deadly force",2
"dear friend",2
"death penalty",2
"debt ceiling",3
"debut album",2
"decades ago",3
"decided go",2
"decided make",2
"decided pay",3
"decided take",3
"declined comment",3
"deep breath",2
"deep red",2
"deeper sense",2
"defend danger",2
"defensive coordinator",2
"defensive end",3
"defensive tackle",4
"degrees f",2
"dementia can",2
"democratic party",2
"democratic primary",2
"democrats said",2
"denver broncos",2
"department corrections",3
"department environmental",2
"department natural",2
"department public",2
"design code",2
"design living",2
"despite best",3
"despite efforts",2
"despite fact",5
"despite initial",2
"deteriorating mental",2
"determine whether",2
"development chief",2
"development move",2
"devices —",2
"didn’t even",2
"didn’t know",4
"didn’t need",2
"didn’t really",3
"died wednesday",2
"diego padres",2
"diego san",2
"different directions",2
"different kind",2
"different types",3
"different way",2
"difficult get",3
"digital age",2
"dimora russo",2
"dinner kept",2
"dinner party",2
"direct object",4
"discount store",2
"disease control",2
"distress ink",3
"district chief",2
"districts devoted",2
"dnt know",2
"do like",2
"doctor called",2
"does anyone",3
"doesn’t give",2
"doesn’t make",3
"doesn’t matter",2
"dog swim",2
"dominican republic",2
"don henley",2
"don shenker",2
"don’t care",2
"don’t get",10
"don’t just",2
"don’t know",6
"don’t let",2
"don’t like",2
"don’t mind",2
"don’t need",3
"don’t particularly",2
"don’t really",4
"don’t think",5
"don’t use",2
"don’t want",5
"don’t wear",2
"don’t worry",2
"done everything",2
"done much",3
"donna rose",2
"donovan said",2
"dont forget",7
"dont get",5
"dont judge",2
"dont know",6
"dont let",2
"dont want",3
"doors open",3
"dorm room",3
"double ipa",2
"download card",2
"dr john",2
"dr risk",2
"dramas like",2
"dress code",2
"dress layers",2
"driver fee",2
"driving car",3
"dropped ball",2
"drug administration",2
"drug dealers",2
"drug use",2
"dry conditions",2
"dry ingredients",4
"dying get",2
"e howard",2
"e street",2
"e word",2
"each person",2
"ear ear",2
"earlier day",3
"earlier week",3
"earlier year",8
"early birds",3
"early february",2
"early morning",6
"early next",2
"early s",4
"early spring",2
"early work",2
"easily accessible",2
"easily see",2
"easy read",2
"easy thing",2
"easy think",2
"economic development",6
"economic growth",2
"economists say",2
"education issue",3
"education system",3
"edward jones",2
"eight years",3
"el camino",2
"el dorado",2
"el paso",2
"elementary school",4
"eligible free",2
"eliminate need",2
"else can",3
"elusive goal",2
"email address",3
"empire state",2
"en route",4
"end book",2
"end day",3
"end last",2
"end result",3
"end week",2
"end year",5
"ending mar",4
"endured years",2
"enemy enemies",2
"energy room",2
"energy used",2
"engaged political",2
"england patriots",2
"enjoy day",2
"enjoy good",2
"enjoyed reading",2
"enough justify",2
"enough keep",2
"enough make",2
"enough money",4
"enough put",2
"enough share",2
"enough time",3
"enter many",2
"entering sixth",2
"entertainment industry",2
"entire cast",2
"entire team",2
"entirely possible",2
"environment percent",2
"environmental management",3
"environmental protection",2
"especially interesting",2
"especially since",3
"essay contest",2
"european union",3
"even can",2
"even consider",2
"even difficult",2
"even fun",2
"even less",2
"even limited",3
"even made",2
"even now",2
"even second",2
"even small",2
"even started",2
"even though",21
"even trying",2
"even years",2
"event will",3
"eventually went",2
"ever ”",2
"ever ask",2
"ever know",2
"ever made",2
"ever need",3
"ever received",2
"ever seen",2
"ever since",4
"ever thought",2
"every city",2
"every day",14
"every girl",2
"every minute",2
"every morning",2
"every night",2
"every one",4
"every single",5
"every time",13
"every word",2
"every year",5
"everyday life",2
"everyone else",4
"everyone gets",2
"everyone involved",2
"everyone just",2
"everyone like",2
"everyone right",2
"everything can",2
"everything else",6
"everything going",3
"everything good",2
"everything will",3
"evidence shows",2
"evolution mitsubishi",6
"exactly ’m",2
"exactly thinking",2
"example many",2
"excited first",2
"excited see",2
"executive director",6
"executives like",2
"expensive two",2
"express scripts",2
"extra days",2
"extra driver",2
"extremely high",2
"extremist groups",2
"eyes see",2
"eyes wide",2
"f fair",2
"face ’s",2
"face girl",2
"face one",2
"facebook page",2
"facebook twitter",2
"fact ’s",2
"fact also",2
"fact just",2
"fact will",2
"fade away",2
"fair share",2
"fairly routine",2
"fairy princess",3
"faith god",2
"fall asleep",2
"fall love",4
"fall short",2
"fallen behind",2
"falling apart",2
"falling love",2
"false information",2
"family friends",7
"family members",9
"family planning",2
"family services",2
"family will",2
"fan base",2
"far away",2
"far behind",2
"far beyond",2
"far right",3
"farmers market",3
"fatal shooting",3
"father learned",2
"favorite part",2
"favorite song",2
"fear truth",2
"features beautiful",2
"federal court",2
"federal government",2
"federal reserve",2
"fee year",2
"feel ’s",2
"feel better",5
"feel can",2
"feel free",10
"feel good",5
"feel guilty",4
"feel heart",2
"feel home",2
"feel like",25
"feel makes",2
"feel necessary",2
"feel really",2
"feel special",2
"feel way",3
"feeling bit",2
"feeling confident",2
"feeling isolated",2
"feeling like",3
"feels like",5
"feet inches",2
"feet tall",2
"fell love",3
"felt alone",2
"felt deep",2
"felt like",18
"felt though",2
"felt way",4
"fewer people",2
"fidelis creditors",2
"fifty years",2
"figure good",2
"figured way",2
"filed bankruptcy",2
"fill blank",2
"final four",3
